stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
254,1764,"ROANOKE + OCOEE",,35.056708,-85.262277,,,,,,2
255,1757,"ROANOKE + CAMDEN",,35.055623,-85.262880,,,,,,2
256,1770,"ROANOKE + WILCOX NW",,35.053978,-85.263787,,,,,,2
257,1774,"ROANOKE + WILSON",,35.052325,-85.264740,,,,,,2
258,1762,"ROANOKE + LAURA",,35.051507,-85.265153,,,,,,2
259,1759,"ROANOKE + COOLEY",,35.050723,-85.265757,,,,,,2
260,1768,"ROANOKE + PORTLAND",,35.049877,-85.266060,,,,,,2
261,261,"OKNOB + 957",,35.049420,-85.267188,,,,,,0
262,2305,"OKNOB + MILNE",,35.048630,-85.267967,,,,,,2
263,2297,"OKNOB + CARSON",,35.047307,-85.268682,,,,,,2
264,2299,"OKNOB + CITICO",,35.046142,-85.269318,,,,,,2
265,2303,"OKNOB + JACKSON",,35.044827,-85.270017,,,,,,2
266,2301,"OKNOB + CLEVELAND",,35.043352,-85.270812,,,,,,2
269,1130,"3RD + HAWTHORNE",,35.041350,-85.273228,,,,,,2
270,1136,"3RD + HOLLY",,35.042693,-85.276470,,,,,,2
271,1125,"3RD + DIAG CLINIC",,35.043417,-85.278473,,,,,,2
272,1138,"3RD + HOLTZCLAW",,35.043718,-85.279648,,,,,,2
273,273,"3RD + FIELD HOUSE",,35.044290,-85.280745,,,,,,0
274,1150,"3RD + SCRUGGS",,35.045888,-85.285212,,,,,,2
275,1146,"3RD + ONEAL",,35.046392,-85.286468,,,,,,2
276,1119,"3RD + CENTRAL",,35.046842,-85.287740,,,,,,2
277,1154,"3RD + WIEHL",,35.047818,-85.290362,,,,,,2
278,1127,"3RD + HAMPTON",,35.048288,-85.291697,,,,,,2
279,1148,"3RD + PALMETTO",,35.048733,-85.293017,,,,,,2
280,1122,"3RD + COLLINS",,35.049535,-85.294320,,,,,,2
281,1124,"3RD + CSAS",,35.049897,-85.295305,,,,,,2
282,1142,"3RD + MABEL",,35.051288,-85.299295,,,,,,2
283,1139,"3RD + HOUSTON",,35.051912,-85.301298,,,,,,2
284,1140,"3RD + LINDSAY",,35.052515,-85.302427,,,,,,2
285,1131,"3RD + HIGH",,35.053513,-85.305272,,,,,,2
286,1151,"3RD + WALNUT",,35.053568,-85.307337,,,,,,2
287,1120,"3RD + CHERRY",,35.053548,-85.308418,,,,,,2
288,10,"STUART + DODSON",,35.071927,-85.250085,,,,,,2
289,289,"STUART + TAYLOR",,35.071415,-85.249115,,,,,,0
290,290,"STUART + WHEELER",,35.070890,-85.247797,,,,,,0
